#separator:tab
#html:true
Why are you mad?	ليه زعلان ليه
"I&#x27;m not mad"	أنا مش زعلانه
Why are you running away?	ليه هربان ليه
"I&#x27;m not running away"	أنا مش هربانه
Why are you crying?	ليه بكيان ليه
"Why are you mad?<br>I&#x27;m not mad<br>Why are you sc<br>I&#x27;m not scared?<br><br>Why are you running away?<br>I&#x27;m not running away<br>Why are you crying?<br>I&#x27;m not crying<br><br>And why? and why?<br>Aren&#x27;t you a man and why?<br>Aren&#x27;t you a man and why?<br>Aren&#x27;t you a man and why?<br><br>What is this man<br>Why are you mad?<br>I&#x27;m not mad<br>Why are you sc<br><br>I&#x27;m not scared?<br>Why are you running away?<br>I&#x27;m not running away<br>Why are you crying?<br><br>I&#x27;m not crying<br>And why? and why?<br>Aren&#x27;t you a man and why?<br>Aren&#x27;t you a man and why?<br><br>Aren&#x27;t you a man and why?<br>What is this man"	ليه زعلان ليه<br>أنا مش زعلانه<br>ليه خيفان ليه<br>أنا مش خيفانه<br><br>ليه هربان ليه<br>أنا مش هربانه<br>ليه بكيان ليه<br>انا مش بكيانه<br><br>و ليه، وليه<br>منك رجال و ليه<br>منك رجال و ليه<br>منك رجال و ليه<br><br>شو ها الرجال و لاه<br>ليه زعلان ليه<br>أنا مش زعلانه<br>ليه خيفان ليه<br><br>أنا مش خيفانه<br>ليه هربان ليه<br>أنا مش هربانه<br>ليه بكيان ليه<br><br>أنا مش بكيانه<br>و ليه، وليه<br>منك رجال و ليه<br>منك رجال و ليه<br><br>منك رجال و ليه<br>شو ها الرجال و لاه
Markets as a chessboard	والاسواق زي الشطرنج
FullTranslation	FullOriginal
Oh lovable, oh deluded	يا محبوب يا موهوم
The touch of your hands beats me	لمسة إيدك بتغلبني
The blink of my eyes, my eyes are for you	رمش عيوني، عيوني ليك
Sure glad, happy with women around you	لازم فرحان، مبسوط بزحمة الستات عليك
Being a victim of victims of the cruelty of your heart to me	كوني ضحية من ضحايا قسوة قلبك ليه
The blame on me	الحق عليًّ مكتفة إيديا
Hoping you be free for me	متأملة أنك تفضى ليًّ
I tried to hide my feelings for you	حاول تداري شعوري ليك
"My rhythm loss, I&#x27;ve ruled my mind"	فاقدة إيقاعي حكمت عقلي
"Oh lovable, oh deluded<br>The touch of your hands beats me<br><br>The blink of my eyes, my eyes are for you<br><br>Sure glad, happy with women around you<br>Being a victim of victims of the cruelty of your heart to me<br><br><br><br>The blame on me<br>Hoping you be free for me<br><br>Sure glad, happy with women around you<br>Being a victim of victims of the cruelty of your heart to me<br>Sure glad, happy with women around you<br>Being a victim of victims of the cruelty of your heart to me<br><br><br>I tried to hide my feelings for you<br>My rhythm loss, I&#x27;ve ruled my mind<br><br><br>Sure glad, happy with women around you<br>Being a victim of victims of the cruelty of your heart to me<br>Sure glad, happy with women around you<br>Being a victim of victims of the cruelty of your heart to me"	يا محبوب يا موهوم<br>لمسة إيدك بتغلبني<br>أخر نظرة ما لك ذابح<br>رمش عيوني، عيوني ليك<br><br>لازم فرحان، مبسوط بزحمة الستات عليك<br>كوني ضحية من ضحايا قسوة قلبك ليه<br><br>أه يا قاسي أه يا ناسي<br>وعدك ليًّ ما توعدنيش<br>الحق عليًّ مكتفة إيديا<br>متأملة أنك تفضى ليًّ<br><br>لازم فرحان، مبسوط بزحمة الستات عليك<br>كوني ضحية من ضحايا قسوة قلبك ليه<br>لازم فرحان، مبسوط بزحمة الستات عليك<br>كوني ضحية من ضحايا قسوة قلبك ليه<br><br>حاسب يا غالي حافظ عليًّ<br>حاول تداري شعوري ليك<br>فاقدة إيقاعي حكمت عقلي<br>حقن في قلبي، نسياني لأنك<br><br>طبعا فرحان، مبسوط بزحمة الستات عليك<br>كوني ضحية من ضحايا قسوة قلبك ليه<br>طبعًا فرحان، مبسوط بزحمة الستات عليك<br>كوني ضحية من ضحايا قسوة قلبك ليه
You look cute, my life, bring me breakfast	شكلك مهضوم، حياتي، جبلي الترويقة
"I&#x27;m craving ful, hummus and toum and a slice of marquqah bread"	جاي عبالي فول، حمص وتوم وخبزة مرقوقة
Comfort me, my love comfort me	ريحني، حبيبي ريحني
Let me sleep	خليني نام
Tell me what you dream what I dream	خبرني شو بتحلم شو بحلم
"I wander and my heart is with you, I&#x27;m for you always ."	... بسوح وقلبي معك، أنا إلك عطول
"Put me in a good mood, don&#x27;t fear that I&#x27;ll get bored"	روقني، ما تخاف تزهقني
I crave to sleep	جاي ععبالي نام
At your place, in your house, on your bed	عندك، في بيتك، على تختك
Let us be ... together	خلينا نكون ... سوا
Pamper me between your hands	دلعني بين إيديك
Bravo, well done	عفاك
"You look cute, my life, bring me breakfast<br>I&#x27;m craving ful, hummus and toum and a slice of marquqah bread<br>Comfort me, my love comfort me<br>Let me sleep<br>Tell me what you dream what I dream<br>Let me sleep<br>I wander and my heart is with you, I&#x27;m for you always .<br><br>Put me in a good mood, don&#x27;t fear that I&#x27;ll get bored<br>I crave to sleep<br>At your place, in your house, on your bed<br>Let us be ... together<br>Pamper me between your hands<br>Bravo, well done<br><br>You look cute, my life, bring me breakfast<br>I&#x27;m craving ful, hummus and toum and a slice of marquqah bread<br>You look cute, my life, bring me breakfast<br><br>You look cute, my life, bring me breakfast<br>I&#x27;m craving ful, hummus and toum and a slice of marquqah bread<br>You look cute, my life, bring me breakfast"	شكلك مهضوم، حياتي، جبلي الترويقة<br>جاي عبالي فول، حمص وتوم وخبزة مرقوقة<br>ريحني، حبيبي ريحني<br>خليني نام<br>خبرني شو بتحلم شو بحلم<br>خليني نام<br>... بسوح وقلبي معك، أنا إلك عطول<br><br>روقني، ما تخاف تزهقني<br>جاي ععبالي نام<br>عندك، في بيتك، على تختك<br>خلينا نكون ... سوا<br>دلعني بين إيديك<br>عفاك<br><br>شكلك مهضوم، حياتي، جبلي الترويقة<br>جاي عبالي فول، حمص وتوم وخبزة مرقوقة<br>شكلك مهضوم، حياتي، جبلي الترويقة<br><br>شكلك مهضوم، حياتي، جبلي الترويقة<br>جاي عبالي فول، حمص وتوم وخبزة مرقوقة<br>شكلك مهضوم، حياتي، جبلي الترويقة
"Let&#x27;s ride the bus"	تع نركب اوتوبيس
go around the museum ، the corniche	دورة, متحف, كرنيش
Come close to the sweet taste	قرب عالطيب قرب
Experience the feel of my lips	لمست شفافي جرب
Watermelon on the knife	عالسكين يا بطيخ
Broadbean Broadbean corncobs	طرمس, طرمس عرانيس
Everything is clean Everything is slim	كل نظيف, كل نحيف
everything is cool Everything is so cute	كل مهفهف, كل لطيف
oh you cute man be nice with the girls oh cute man	اه يا لطيف, تطلطف بالصبايا, يا لطيف, يا لطيف
Noise and congestion .. a new market	هرج ومرج, سوق فرنش
Taxi travel easily	تاكسيات بتكرج كرج
everthing is clean and everything is new	كل نظيف, كل خلنج
clean and lovely just like snow	نظيفة ظريفة زي الثلج
and the girls are lovely and cute	والبنات بتغنج غنج
