FullTranslation,FullOriginal,Artist,Song Name,ISO 639-1 Language Code
,"يوم شفتك . شفتها وين وبأية عين؟
يوم شفتك . شفتها وين وبأية عين؟
شفتك عشفتها، شفتك كشفتك
شفتك عشفتها، شفتك كشفتك
يوم شفتك . شفتها وين وبأية عين؟

قلبي غط وكلُّ راح برمشة عين
قلي وينك يا ننينيك إلك عين؟
شفتك عشفتها، شفتك كشفتك
شفتك عشفتها، شفتك كشفتك
قلبي غط وكلُّ راح برمشة عين

غرقت عينك شارد وينك أنتا فين؟
شكلك ضايع بيني وبينا ع الميلين
أختك عَ أختا، شفتك كشفتك
ملبك متوهني، مشربكلي عقلك
أختك عَ أختا، شفتك كشفتك
ملبك متوهني، مشربكلي عقلك
شارد وينك أنت فين؟

يوم شفتك . شفتها وين وبأية عين؟
يوم شفتك . شفتها وين وبأية عين؟
شفتك عشفتها، شفتك كشفتك
شفتك عشفتها، شفتك أفشتك
شفتك عشفتها، شفتك كشفتك
شفتك عشفتها، شفتك أفشتك
يوم شفتك . شفتها وين وبأية عين؟",Soapkills,Cheftak (Paris Version),en
"Oh lovable, oh deluded",يا محبوب يا موهوم,Soapkills,Wahch,en
The touch of your hands beats me,لمسة إيدك بتغلبني,Soapkills,Wahch,en
"The blink of my eyes, my eyes are for you",رمش عيوني، عيوني ليك,Soapkills,Wahch,en
"Sure glad, happy with women around you",لازم فرحان، مبسوط بزحمة الستات عليك,Soapkills,Wahch,en
Being a victim of victims of the cruelty of your heart to me,كوني ضحية من ضحايا قسوة قلبك ليه,Soapkills,Wahch,en
The blame on me,الحق عليًّ مكتفة إيديا,Soapkills,Wahch,en
Hoping you be free for me,متأملة أنك تفضى ليًّ,Soapkills,Wahch,en
I tried to hide my feelings for you,حاول تداري شعوري ليك,Soapkills,Wahch,en
"My rhythm loss, I've ruled my mind",فاقدة إيقاعي حكمت عقلي,Soapkills,Wahch,en
