FullTranslation,FullOriginal,Artist,Song Name,ISO 639-1 Language Code
without anything,بلا ولا شئ,Ziad Rahbani,Bala Wala Chi,en
Love you,بحبك,Ziad Rahbani,Bala Wala Chi,en
and no liras,ولا ممكن في ليرات,Ziad Rahbani,Bala Wala Chi,en
and no land,ولا ممكن في أراضي,Ziad Rahbani,Bala Wala Chi,en
and no jewelries,ولا في مجوهرات,Ziad Rahbani,Bala Wala Chi,en
let's sit in the shade,تعي نقعد بالفي,Ziad Rahbani,Bala Wala Chi,en
this shade doesn't belong to anyone,مش لحدا هالفي,Ziad Rahbani,Bala Wala Chi,en
love me and think a lil',حبيني وفكري شوي,Ziad Rahbani,Bala Wala Chi,en
alone,وحدك,Ziad Rahbani,Bala Wala Chi,en
without all kinds of clothes,بلا كل أنواع تيابك,Ziad Rahbani,Bala Wala Chi,en
(let's sit),تعي نقعد,Ziad Rahbani,Bala Wala Chi,en
without all that irony,بلا كل هالمسخرة,Ziad Rahbani,Bala Wala Chi,en
"without anything

Love you
without anything


and no liras
and no land
and no jewelries

let's sit in the shade
this shade doesn't belong to anyone
love me and think a lil'

without anything

alone
without anything

without all kinds of clothes




let's sit in the shade
this shade doesn't belong to anyone
love me and think a lil'

(let's sit)
(let's sit)




without all that irony

let's sit in the shade
this shade doesn't belong to anyone
love me and think a lil'
(let's sit)

let's sit in the shade
this shade doesn't belong to anyone
love me and think a lil'

without anything","بلا ولا شئ

بحبك
بلا ولا شئ

ولا في بهالحب مصاري
ولا ممكن في ليرات
ولا ممكن في أراضي
ولا في مجوهرات

تعي نقعد بالفي
مش لحدا هالفي
حبيني وفكري شوي

بلا ولا شئ

وحدك
بلا ولا شئ

بلا كل أنواع تيابك
بلا كل شي فيه تزين
بلا كل أصحاب صحابك
السئلا والمهضومين

تعي نقعد بالفي
مش لحدا هالفي
حبيني وفكري شوي

تعي نقعد
تعي نقعد

بلا جوقة إمك بيك
ورموش ومسكرة
بلا ما النسوان تحيك
بلا كل هالمسخرة

تعي نقعد بالفي
مش لحدا هالفي
حبيني وفكري شوي
تعي نقعد

تعي نقعد بالفي
مش لحدا هالفي
حبيني وفكري شوي

بلا ولا شئ",Ziad Rahbani,Bala Wala Chi,en
,"ما في حديث والجو تعيس
ضيعانه كيف، خلص الحب
بأي حديث ما في حديث
لشو الحديث خلص الحب

مافي مجال لأي سؤال
إلا بحال بعد في حب
لكن خلص، خلص
خلص يعني خلص
خلص
خلص، خلص يعني خلص
خلص

ما في طريق لأي صديق
كل شي عتيق، خلص الحب
يمكن ما فيك تقلي ما فيك
شو بدي فيك، خلص الحب
تا قول قليل، منو قليل
شعور ثقيل، إذا هالحب خلص
خلص، خلص، خلص

يعني خلص
خلص
خلص (خلص إنتهى)
خلص (خلص إنتهى)
يعني خلص (خلص إنتهى)
خلص

ما في كلام يعبر كمان إلا الكلام
خلص، خلص يعني، خلص
خلص
خلص، خلص يعني خلص
خلص

خلص (خلص إنتهى)
خلص (خلص إنتهى)
يعني خلص (خلص إنتهى)
خلص (يعني خلص)
خلص (خلص إنتهى)
خلص (خلص إنتهى)
يعني خلص (خلص إنتهى)

يعني خلص
خلص إنتهى
خلص إنتهى",Ziad Rahbani,Khalas,en
,"يا مرسال المراسيل ع الضيعة القريبة
خدلي بدربك هالمنديل وأعطيه لحبيبي
(يا مرسال المراسيل ع الضيعة القريبة)
(خدلي بدربك هالمنديل وأعطيه لحبيبي)

ع الداير طرزته شوي إيدي والإسوارة
حيكتله اسمه عليه بخيطان السنارة
عالداير طرزته شوي إيدي والإسوارة
حيكتله اسمه عليه بخيطان السنارة

بخيطان الزرق وحمر وغناني الصبيان السمر
كتبتله قصة عمر بدموعي الكتيبة
خدلي بدربك هالمنديل وأعطيه لحبيبي

يا مرسال المراسيل ع الضيعة القريبة
خدلي بدربك هالمنديل وأعطيه لحبيبي

بيته بآخر البيوت قدامه علية
بتوصل ع البيت وبتفوت وبتسلم الهدية
بيته بآخر البيوت قدامه علية
بتوصل ع البيت وبتفوت وبتسلم الهدية

ولو عنا قال وكتر قله خليه يتذكر
ع هالمنديل الأصفر ببعتله مكاتيبي
خدلي بدربك هالمنديل وأعطيه لحبيبي

يا مرسال المراسيل ع الضيعة القريبة
خدلي بدربك هالمنديل وأعطيه لحبيبي

وبتجيبلي منه تذكار شي ورقة وشي صورة
ع الورقة يكتب أشعار واسمه على الصورة
بتجيبلي منه تذكار شي ورقة وشي صورة
ع الورقة يكتب أشعار واسمه على الصورة

لما بتبكي المواويل يسأل عن أهل المنديل
يا مرسال المراسيل وسلم ع حبيبي
خدلي بدربك هالمنديل وأعطيه لحبيبي

(يا مرسال المراسيل ع الضيعة القريبة)
(خدلي بدربك هالمنديل وأعطيه لحبيبي)
يا مرسال المراسيل ع الضيعة القريبة
خدلي بدربك هالمنديل وأعطيه لحبيبي",Fairuz,Ya Mersal El Marasil,en
Send my greeting to him and tell him that i am sending my greetings,سلّملي عليه، وقله إني بسلم عليه,Fairuz,Sallimleh Alayh,en
Kiss his eyes and tell him that i am kissing his eyes,بوّسلي عينيه، وقله إني ببوّس عينيه,Fairuz,Sallimleh Alayh,en
